Word: goodness, start_time: 2.3, end_time: 2.9
Word: did, start_time: 2.9, end_time: 3.2
Word: I, start_time: 3.2, end_time: 3.3
Word: hear, start_time: 3.3, end_time: 3.5
Word: a, start_time: 3.5, end_time: 3.6
Word: cat, start_time: 3.6, end_time: 3.8
Word: Miu, start_time: 5.4, end_time: 6.0
Word: Miu, start_time: 6.0, end_time: 6.0
Word: Miu, start_time: 6.0, end_time: 6.2
Word: cat, start_time: 6.2, end_time: 7.6
Word: are, start_time: 7.6, end_time: 7.8
Word: you, start_time: 7.8, end_time: 7.9
Word: little, start_time: 7.9, end_time: 9.1
Word: Tom, start_time: 9.1, end_time: 9.4
Word: Tinkers, start_time: 9.4, end_time: 9.9
Word: cat, start_time: 9.9, end_time: 10.2
Word: mew, start_time: 10.2, end_time: 10.8
Word: mew, start_time: 10.8, end_time: 11.1
Word: mew, start_time: 11.1, end_time: 11.5
