Word: one, start_time: 1.8, end_time: 2.4
Word: nice, start_time: 2.4, end_time: 2.7
Word: place, start_time: 2.7, end_time: 3.0
Word: in, start_time: 3.0, end_time: 3.1
Word: London, start_time: 3.1, end_time: 3.3
Word: is, start_time: 3.3, end_time: 3.8
Word: called, start_time: 3.8, end_time: 4.2
Word: Banbury, start_time: 4.2, end_time: 5.1
Word: Cross, start_time: 5.1, end_time: 5.6
Word: Ride, start_time: 7.4, end_time: 8.0
Word: a, start_time: 8.0, end_time: 8.1
Word: black, start_time: 8.1, end_time: 8.2
Word: horse, start_time: 8.2, end_time: 8.6
Word: to, start_time: 8.6, end_time: 9.0
Word: Banbury, start_time: 9.0, end_time: 9.2
Word: Cross, start_time: 9.2, end_time: 9.5
Word: to, start_time: 9.5, end_time: 10.1
Word: see, start_time: 10.1, end_time: 10.3
Word: a, start_time: 10.3, end_time: 10.4
Word: fine, start_time: 10.4, end_time: 11.0
Word: lady, start_time: 11.0, end_time: 11.3
Word: upon, start_time: 11.3, end_time: 11.8
Word: a, start_time: 11.8, end_time: 11.9
Word: white, start_time: 11.9, end_time: 12.0
Word: horse, start_time: 12.0, end_time: 12.4
Word: rings, start_time: 12.4, end_time: 14.0
Word: on, start_time: 14.0, end_time: 14.1
Word: her, start_time: 14.1, end_time: 14.2
Word: fingers, start_time: 14.2, end_time: 14.3
Word: and, start_time: 14.3, end_time: 14.9
Word: bells, start_time: 14.9, end_time: 15.5
Word: on, start_time: 15.5, end_time: 15.9
Word: her, start_time: 15.9, end_time: 16.0
Word: toes, start_time: 16.0, end_time: 16.1
Word: and, start_time: 16.1, end_time: 17.0
Word: she, start_time: 17.0, end_time: 17.4
Word: shall, start_time: 17.4, end_time: 17.5
Word: have, start_time: 17.5, end_time: 17.6
Word: music, start_time: 17.6, end_time: 17.9
Word: wherever, start_time: 17.9, end_time: 18.5
Word: she, start_time: 18.5, end_time: 19.0
Word: goes, start_time: 19.0, end_time: 19.1
Word: ride, start_time: 19.1, end_time: 20.8
Word: a, start_time: 20.8, end_time: 20.9
Word: black, start_time: 20.9, end_time: 21.2
Word: horse, start_time: 21.2, end_time: 21.5
Word: to, start_time: 21.5, end_time: 21.8
Word: Banbury, start_time: 21.8, end_time: 22.0
Word: Cross, start_time: 22.0, end_time: 22.3
Word: to, start_time: 22.3, end_time: 22.8
Word: see, start_time: 22.8, end_time: 23.0
Word: what, start_time: 23.0, end_time: 23.3
Word: Tommy, start_time: 23.3, end_time: 23.6
Word: can, start_time: 23.6, end_time: 23.8
Word: buy, start_time: 23.8, end_time: 24.0
Word: a, start_time: 24.0, end_time: 25.1
Word: penny, start_time: 25.1, end_time: 25.4
Word: white, start_time: 25.4, end_time: 25.8
Word: Loaf, start_time: 25.8, end_time: 26.1
Word: a, start_time: 26.1, end_time: 26.5
Word: penny, start_time: 26.5, end_time: 26.9
Word: white, start_time: 26.9, end_time: 27.1
Word: cake, start_time: 27.1, end_time: 27.5
Word: and, start_time: 27.5, end_time: 28.2
Word: a, start_time: 28.2, end_time: 28.3
Word: 2, start_time: 28.3, end_time: 28.8
Word: Penny, start_time: 28.8, end_time: 29.1
Word: apple, start_time: 29.1, end_time: 29.5
Word: pie, start_time: 29.5, end_time: 29.8
