Word: what, start_time: 2.2, end_time: 2.6
Word: we, start_time: 2.6, end_time: 2.8
Word: call, start_time: 2.8, end_time: 3.0
Word: a, start_time: 3.0, end_time: 3.2
Word: bandage, start_time: 3.2, end_time: 3.9
Word: people, start_time: 3.9, end_time: 4.6
Word: used, start_time: 4.6, end_time: 4.8
Word: to, start_time: 4.8, end_time: 5.0
Word: call, start_time: 5.0, end_time: 5.0
Word: a, start_time: 5.0, end_time: 5.3
Word: plaster, start_time: 5.3, end_time: 6.1
Word: a, start_time: 6.1, end_time: 6.9
Word: boy, start_time: 6.9, end_time: 7.1
Word: named, start_time: 7.1, end_time: 7.5
Word: Jack, start_time: 7.5, end_time: 8.2
Word: got, start_time: 8.2, end_time: 8.8
Word: one, start_time: 8.8, end_time: 9.1
Word: Jack, start_time: 10.5, end_time: 11.1
Word: and, start_time: 11.1, end_time: 11.3
Word: Jill, start_time: 11.3, end_time: 11.7
Word: went, start_time: 11.7, end_time: 11.8
Word: up, start_time: 11.8, end_time: 12.0
Word: the, start_time: 12.0, end_time: 12.2
Word: hill, start_time: 12.2, end_time: 12.3
Word: to, start_time: 12.3, end_time: 12.5
Word: fetch, start_time: 12.5, end_time: 12.9
Word: a, start_time: 12.9, end_time: 13.0
Word: pail, start_time: 13.0, end_time: 13.2
Word: of, start_time: 13.2, end_time: 13.4
Word: water, start_time: 13.4, end_time: 13.5
Word: Jack, start_time: 14.6, end_time: 15.3
Word: fell, start_time: 15.3, end_time: 15.6
Word: down, start_time: 15.6, end_time: 15.7
Word: and, start_time: 15.7, end_time: 16.5
Word: broke, start_time: 16.5, end_time: 16.9
Word: his, start_time: 16.9, end_time: 17.1
Word: crown, start_time: 17.1, end_time: 17.3
Word: and, start_time: 17.3, end_time: 17.9
Word: Jill, start_time: 17.9, end_time: 18.4
Word: came, start_time: 18.4, end_time: 18.5
Word: tumbling, start_time: 18.5, end_time: 19.1
Word: after, start_time: 19.1, end_time: 19.3
Word: abject., start_time: 20.8, end_time: 21.9
Word: And, start_time: 21.9, end_time: 22.6
Word: home, start_time: 22.6, end_time: 23.0
Word: did, start_time: 23.0, end_time: 23.3
Word: truck, start_time: 23.3, end_time: 23.8
Word: as, start_time: 23.8, end_time: 24.3
Word: fast, start_time: 24.3, end_time: 24.8
Word: as, start_time: 24.8, end_time: 25.0
Word: he, start_time: 25.0, end_time: 25.1
Word: could, start_time: 25.1, end_time: 25.4
Word: caper, start_time: 25.4, end_time: 25.8
Word: to, start_time: 25.8, end_time: 26.7
Word: Old, start_time: 26.7, end_time: 27.1
Word: Dame, start_time: 27.1, end_time: 27.7
Word: job, start_time: 27.7, end_time: 28.2
Word: who, start_time: 28.2, end_time: 28.9
Word: patched, start_time: 28.9, end_time: 29.4
Word: his, start_time: 29.4, end_time: 29.6
Word: knob, start_time: 29.6, end_time: 29.9
Word: with, start_time: 29.9, end_time: 30.1
Word: vinegar, start_time: 30.1, end_time: 30.5
Word: and, start_time: 30.5, end_time: 30.6
Word: brown, start_time: 30.6, end_time: 30.8
Word: paper, start_time: 30.8, end_time: 30.9
Word: when, start_time: 32.3, end_time: 32.8
Word: Jill, start_time: 32.8, end_time: 33.0
Word: came, start_time: 33.0, end_time: 33.4
Word: in, start_time: 33.4, end_time: 33.6
Word: how, start_time: 33.6, end_time: 33.9
Word: she, start_time: 33.9, end_time: 34.1
Word: did, start_time: 34.1, end_time: 34.8
Word: grin, start_time: 34.8, end_time: 35.3
Word: to, start_time: 35.3, end_time: 35.5
Word: see, start_time: 35.5, end_time: 35.7
Word: Jack's, start_time: 35.7, end_time: 36.3
Word: paper, start_time: 36.3, end_time: 36.8
Word: plaster, start_time: 36.8, end_time: 37.5
Word: Dame, start_time: 37.5, end_time: 39.0
Word: dub, start_time: 39.0, end_time: 39.5
Word: got, start_time: 39.5, end_time: 39.7
Word: mad, start_time: 39.7, end_time: 40.3
Word: and, start_time: 40.3, end_time: 40.8
Word: whipped, start_time: 40.8, end_time: 41.2
Word: her, start_time: 41.2, end_time: 41.4
Word: bad, start_time: 41.4, end_time: 42.2
Word: for, start_time: 42.2, end_time: 42.4
Word: causing, start_time: 42.4, end_time: 43.1
Word: Jack's, start_time: 43.1, end_time: 43.5
Word: disaster, start_time: 43.5, end_time: 44.1
