Word: ding, start_time: 2.6, end_time: 3.2
Word: dong, start_time: 3.2, end_time: 3.6
Word: bell, start_time: 3.6, end_time: 4.5
Word: the, start_time: 4.5, end_time: 5.0
Word: cat, start_time: 5.0, end_time: 5.3
Word: is, start_time: 5.3, end_time: 5.7
Word: in, start_time: 5.7, end_time: 5.8
Word: the, start_time: 5.8, end_time: 6.0
Word: well, start_time: 6.0, end_time: 6.7
Word: who, start_time: 6.7, end_time: 7.6
Word: put, start_time: 7.6, end_time: 7.8
Word: her, start_time: 7.8, end_time: 8.1
Word: in, start_time: 8.1, end_time: 8.5
Word: Little, start_time: 8.5, end_time: 9.5
Word: Johnny, start_time: 9.5, end_time: 10.1
Word: Green, start_time: 10.1, end_time: 10.7
Word: out, start_time: 10.7, end_time: 12.3
Word: what, start_time: 12.3, end_time: 15.0
Word: a, start_time: 15.0, end_time: 15.1
Word: naughty, start_time: 15.1, end_time: 15.5
Word: boy, start_time: 15.5, end_time: 15.8
Word: was, start_time: 15.8, end_time: 16.4
Word: that, start_time: 16.4, end_time: 16.7
Word: to, start_time: 16.7, end_time: 17.1
Word: try, start_time: 17.1, end_time: 17.4
Word: to, start_time: 17.4, end_time: 17.5
Word: drown, start_time: 17.5, end_time: 17.8
Word: poor, start_time: 17.8, end_time: 18.3
Word: kitty, start_time: 18.3, end_time: 18.7
Word: cat, start_time: 18.7, end_time: 19.2
