Word: that, start_time: 0.6000000000000001, end_time: 1.1
Word: little, start_time: 1.1, end_time: 1.4
Word: girl, start_time: 1.4, end_time: 1.6
Word: way, start_time: 1.6, end_time: 2.1
Word: over, start_time: 2.1, end_time: 2.5
Word: there, start_time: 2.5, end_time: 2.8
Word: can, start_time: 2.8, end_time: 3.5
Word: you, start_time: 3.5, end_time: 3.6
Word: hear, start_time: 3.6, end_time: 3.8
Word: what, start_time: 3.8, end_time: 4.1
Word: she, start_time: 4.1, end_time: 4.2
Word: saying, start_time: 4.2, end_time: 4.8
Word: it, start_time: 4.8, end_time: 6.0
Word: sounds, start_time: 6.0, end_time: 6.4
Word: like, start_time: 6.4, end_time: 7.1
Word: here, start_time: 9.1, end_time: 9.7
Word: are, start_time: 9.7, end_time: 10.0
Word: my, start_time: 10.0, end_time: 10.2
Word: little, start_time: 10.2, end_time: 11.1
Word: Jumping, start_time: 11.1, end_time: 11.7
Word: John, start_time: 11.7, end_time: 12.3
Word: when, start_time: 12.3, end_time: 12.6
Word: nobody's, start_time: 12.6, end_time: 13.5
Word: with, start_time: 13.5, end_time: 13.8
Word: me, start_time: 13.8, end_time: 14.0
Word: I'm, start_time: 14.0, end_time: 14.5
Word: always, start_time: 14.5, end_time: 15.1
Word: alone, start_time: 15.1, end_time: 15.9
