Word: it's, start_time: 0.6000000000000001, end_time: 1.6
Word: not, start_time: 1.6, end_time: 1.8
Word: nice, start_time: 1.8, end_time: 2.4
Word: to, start_time: 2.4, end_time: 2.5
Word: have, start_time: 2.5, end_time: 2.8
Word: mice, start_time: 2.8, end_time: 3.2
Word: running, start_time: 3.2, end_time: 3.6
Word: in, start_time: 3.6, end_time: 3.7
Word: the, start_time: 3.7, end_time: 3.8
Word: house, start_time: 3.8, end_time: 4.1
Word: but, start_time: 4.1, end_time: 4.9
Word: a, start_time: 4.9, end_time: 5.0
Word: goose, start_time: 5.0, end_time: 5.6
Word: in, start_time: 5.6, end_time: 5.8
Word: the, start_time: 5.8, end_time: 5.9
Word: house, start_time: 5.9, end_time: 6.2
Word: would, start_time: 6.2, end_time: 6.5
Word: be, start_time: 6.5, end_time: 6.6
Word: an, start_time: 6.6, end_time: 6.7
Word: even, start_time: 6.7, end_time: 6.9
Word: bigger, start_time: 6.9, end_time: 7.3
Word: bother, start_time: 7.3, end_time: 8.1
Word: Goosey, start_time: 9.5, end_time: 10.2
Word: Goosey, start_time: 10.2, end_time: 10.4
Word: Gander, start_time: 10.4, end_time: 10.8
Word: where, start_time: 10.8, end_time: 11.7
Word: do, start_time: 11.7, end_time: 11.9
Word: you, start_time: 11.9, end_time: 12.0
Word: wander, start_time: 12.0, end_time: 12.5
Word: upstairs, start_time: 12.5, end_time: 13.5
Word: and, start_time: 13.5, end_time: 13.7
Word: downstairs, start_time: 13.7, end_time: 14.1
Word: and, start_time: 14.1, end_time: 14.6
Word: in, start_time: 14.6, end_time: 14.7
Word: my, start_time: 14.7, end_time: 15.0
Word: lady's, start_time: 15.0, end_time: 15.2
Word: chamber, start_time: 15.2, end_time: 15.7
Word: there, start_time: 15.7, end_time: 16.7
Word: I, start_time: 16.7, end_time: 16.9
Word: met, start_time: 16.9, end_time: 17.2
Word: an, start_time: 17.2, end_time: 17.3
Word: old, start_time: 17.3, end_time: 17.5
Word: man, start_time: 17.5, end_time: 18.0
Word: who, start_time: 18.0, end_time: 18.4
Word: wouldn't, start_time: 18.4, end_time: 18.6
Word: say, start_time: 18.6, end_time: 18.9
Word: his, start_time: 18.9, end_time: 19.1
Word: prayers, start_time: 19.1, end_time: 19.3
Word: I, start_time: 19.3, end_time: 20.2
Word: took, start_time: 20.2, end_time: 20.6
Word: him, start_time: 20.6, end_time: 20.7
Word: by, start_time: 20.7, end_time: 20.8
Word: the, start_time: 20.8, end_time: 20.9
Word: left, start_time: 20.9, end_time: 21.4
Word: leg, start_time: 21.4, end_time: 21.6
Word: and, start_time: 21.6, end_time: 21.8
Word: threw, start_time: 21.8, end_time: 22.2
Word: him, start_time: 22.2, end_time: 22.4
Word: down, start_time: 22.4, end_time: 22.5
Word: the, start_time: 22.5, end_time: 22.8
Word: stairs, start_time: 22.8, end_time: 23.2
