Word: hey, start_time: 1.7000000000000002, end_time: 2.1
Word: diddle, start_time: 2.1, end_time: 2.6
Word: diddle, start_time: 2.6, end_time: 2.7
Word: the, start_time: 2.7, end_time: 3.1
Word: cat, start_time: 3.1, end_time: 3.3
Word: and, start_time: 3.3, end_time: 3.7
Word: the, start_time: 3.7, end_time: 3.9
Word: fiddle, start_time: 3.9, end_time: 4.0
Word: the, start_time: 4.0, end_time: 4.4
Word: cow, start_time: 4.4, end_time: 4.7
Word: jumped, start_time: 4.7, end_time: 4.9
Word: over, start_time: 4.9, end_time: 5.5
Word: the, start_time: 5.5, end_time: 5.8
Word: moon, start_time: 5.8, end_time: 5.9
Word: the, start_time: 5.9, end_time: 7.0
Word: little, start_time: 7.0, end_time: 7.4
Word: dog, start_time: 7.4, end_time: 7.7
Word: laughed, start_time: 7.7, end_time: 7.8
Word: To, start_time: 7.8, end_time: 8.4
Word: see, start_time: 8.4, end_time: 8.6
Word: such, start_time: 8.6, end_time: 8.7
Word: Sport, start_time: 8.7, end_time: 9.2
Word: and, start_time: 9.2, end_time: 9.8
Word: the, start_time: 9.8, end_time: 9.9
Word: dish, start_time: 9.9, end_time: 10.2
Word: ran, start_time: 10.2, end_time: 10.4
Word: away, start_time: 10.4, end_time: 10.7
Word: with, start_time: 10.7, end_time: 11.2
Word: the, start_time: 11.2, end_time: 11.3
Word: spoon, start_time: 11.3, end_time: 11.4
