Word: did, start_time: 0.9, end_time: 1.4
Word: Jack, start_time: 1.4, end_time: 1.9
Word: jump, start_time: 1.9, end_time: 2.8
Word: over, start_time: 2.8, end_time: 2.9
Word: little, start_time: 2.9, end_time: 3.5
Word: Nanny, start_time: 3.5, end_time: 4.0
Word: and, start_time: 4.0, end_time: 4.2
Word: a, start_time: 4.2, end_time: 4.3
Word: code, start_time: 4.3, end_time: 4.6
Word: a, start_time: 6.6, end_time: 7.0
Word: little, start_time: 7.0, end_time: 7.3
Word: fire, start_time: 7.3, end_time: 7.7
Word: makes, start_time: 7.7, end_time: 8.2
Word: the, start_time: 8.2, end_time: 8.3
Word: line, start_time: 8.3, end_time: 8.6
Word: on, start_time: 8.6, end_time: 8.7
Word: a, start_time: 8.7, end_time: 8.8
Word: candle, start_time: 8.8, end_time: 9.4
Word: and, start_time: 9.4, end_time: 10.1
Word: a, start_time: 10.1, end_time: 10.2
Word: bigger, start_time: 10.2, end_time: 10.5
Word: fire, start_time: 10.5, end_time: 11.0
Word: makes, start_time: 11.0, end_time: 11.3
Word: a, start_time: 11.3, end_time: 11.4
Word: fireplace, start_time: 11.4, end_time: 12.0
Word: hot, start_time: 12.0, end_time: 12.4
Word: then, start_time: 12.4, end_time: 13.9
Word: the, start_time: 13.9, end_time: 14.2
Word: fire, start_time: 14.2, end_time: 14.7
Word: goes, start_time: 14.7, end_time: 15.1
Word: out, start_time: 15.1, end_time: 15.2
Word: and, start_time: 15.2, end_time: 15.6
Word: sometimes, start_time: 15.6, end_time: 16.1
Word: it, start_time: 16.1, end_time: 16.5
Word: leaves, start_time: 16.5, end_time: 16.8
Word: warm, start_time: 16.8, end_time: 17.6
Word: Cinders, start_time: 17.6, end_time: 18.4
Word: and, start_time: 18.4, end_time: 18.6
Word: Ashes, start_time: 18.6, end_time: 18.7
Word: but, start_time: 18.7, end_time: 20.1
Word: they, start_time: 20.1, end_time: 20.2
Word: can, start_time: 20.2, end_time: 20.5
Word: be, start_time: 20.5, end_time: 20.5
Word: dirty, start_time: 20.5, end_time: 21.1
Word: little, start_time: 21.1, end_time: 22.5
Word: Polly, start_time: 22.5, end_time: 22.9
Word: Flinders, start_time: 22.9, end_time: 23.6
Word: set, start_time: 23.6, end_time: 24.2
Word: among, start_time: 24.2, end_time: 24.5
Word: the, start_time: 24.5, end_time: 24.6
Word: Cinders, start_time: 24.6, end_time: 25.0
Word: warming, start_time: 25.0, end_time: 26.0
Word: her, start_time: 26.0, end_time: 26.2
Word: pretty, start_time: 26.2, end_time: 26.6
Word: little, start_time: 26.6, end_time: 26.7
Word: toes, start_time: 26.7, end_time: 27.4
Word: her, start_time: 27.4, end_time: 28.7
Word: mother, start_time: 28.7, end_time: 29.0
Word: came, start_time: 29.0, end_time: 29.2
Word: and, start_time: 29.2, end_time: 29.4
Word: caught, start_time: 29.4, end_time: 29.7
Word: her, start_time: 29.7, end_time: 29.9
Word: and, start_time: 29.9, end_time: 30.5
Word: with, start_time: 30.5, end_time: 30.8
Word: her, start_time: 30.8, end_time: 30.9
Word: little, start_time: 30.9, end_time: 31.2
Word: daughter, start_time: 31.2, end_time: 31.5
Word: for, start_time: 31.5, end_time: 32.4
Word: spoiling, start_time: 32.4, end_time: 33.1
Word: her, start_time: 33.1, end_time: 33.3
Word: nice, start_time: 33.3, end_time: 33.6
Word: new, start_time: 33.6, end_time: 33.9
Word: clothes, start_time: 33.9, end_time: 34.5
