Word: at, start_time: 1.8, end_time: 2.3
Word: school, start_time: 2.3, end_time: 2.7
Word: some, start_time: 2.7, end_time: 3.0
Word: children, start_time: 3.0, end_time: 3.5
Word: hold, start_time: 3.5, end_time: 3.8
Word: hands, start_time: 3.8, end_time: 4.2
Word: to, start_time: 4.2, end_time: 4.5
Word: make, start_time: 4.5, end_time: 4.6
Word: a, start_time: 4.6, end_time: 4.7
Word: circle, start_time: 4.7, end_time: 5.1
Word: and, start_time: 5.1, end_time: 6.0
Word: they, start_time: 6.0, end_time: 6.0
Word: go, start_time: 6.0, end_time: 6.2
Word: around, start_time: 6.2, end_time: 6.3
Word: and, start_time: 6.3, end_time: 6.7
Word: say, start_time: 6.7, end_time: 6.9
Word: ring, start_time: 6.9, end_time: 7.8
Word: around, start_time: 7.8, end_time: 8.4
Word: the, start_time: 8.4, end_time: 8.5
Word: roses, start_time: 8.5, end_time: 9.0
Word: a, start_time: 9.0, end_time: 9.4
Word: Pocketful, start_time: 9.4, end_time: 10.1
Word: of, start_time: 10.1, end_time: 10.2
Word: posies, start_time: 10.2, end_time: 11.0
Word: ashes, start_time: 11.0, end_time: 11.5
Word: ashes, start_time: 11.5, end_time: 12.3
Word: We, start_time: 12.3, end_time: 13.1
Word: All, start_time: 13.1, end_time: 13.6
Word: Fall, start_time: 13.6, end_time: 14.1
Word: Down, start_time: 14.1, end_time: 14.8
Word: picking, start_time: 16.2, end_time: 16.8
Word: up, start_time: 16.8, end_time: 17.0
Word: the, start_time: 17.0, end_time: 17.1
Word: daisies, start_time: 17.1, end_time: 17.7
Word: picking, start_time: 17.7, end_time: 18.6
Word: up, start_time: 18.6, end_time: 18.7
Word: the, start_time: 18.7, end_time: 18.9
Word: daisies, start_time: 18.9, end_time: 19.4
Word: ashes, start_time: 19.4, end_time: 20.7
Word: ashes, start_time: 20.7, end_time: 21.5
Word: we, start_time: 21.5, end_time: 22.2
Word: all, start_time: 22.2, end_time: 22.4
Word: stand, start_time: 22.4, end_time: 23.6
Word: up, start_time: 23.6, end_time: 23.9
